team number,nickname,rookie year,city,region,country,motto,# of events,event codes,event names
876,b'Thunder Robotics',2002,Hatton/Northwood,North Dakota,USA,"""Opportunities don't happen. You create them.""",3,"['2016cur', '2016ilpe', '2016mndu2']","['Curie Division', 'Central Illinois Regional', 'Northern Lights Regional']"
877,b'North Star',2002,Cando,North Dakota,USA,"""We Can Do It""",1,['2016mndu2'],['Northern Lights Regional']
884,b'Mechanical Mules',2002,Malverne,New York,USA,Every accomplishment starts with the decision to try,1,['2016nyli'],['SBPLI Long Island Regional']
885,b'THE GREEN TEAM',2002,Randolph Center,Vermont,USA,You can't get there from here,3,"['2016necmp', '2016nhdur', '2016nhgrs']","['New England District Championship', 'NE District - UNH Event', 'NE District - Granite State Event']"
886,b'Wildcats',2002,North York,Ontario,Canada,Deficio Est Non An Bene,1,['2016onto2'],['Greater Toronto Central Regional']
888,b'Robotiators',2002,Glenelg,Maryland,USA,,4,"['2016chcmp', '2016mdblr', '2016mdedg', '2016vahay']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Northern Maryland Event', 'CHS District - Central Maryland Event', 'CHS District - Northern Virginia Event']"
894,b'Chargers',2002,Flint,Michigan,USA, ,2,"['2016mihow', '2016miket']","['FIM District - Howell Event', 'FIM District - Kettering University Event #1']"
900,b'\xe2\x99\x9eThe Zebracorns\xe2\x99\x9e',2002,Durham,North Carolina,USA,,4,"['2016ncbui', '2016nccmp', '2016ncral', '2016scmb']","['NC District - Campbell University/Johnston Community College Event', 'NC FIRST Robotics State Championship', 'NC District - Wake County Event', 'Palmetto Regional']"
904,b'D cubed',2002,Grand Rapids,Michigan,USA,Desire times dedication times determination equals success,4,"['2016cars', '2016miesc', '2016miken', '2016misjo']","['Carson Division', 'FIM District - Escanaba Event', 'FIM District - East Kentwood Event', 'FIM District - St. Joseph Event']"
910,b'The Foley Freeze',2002,Madison Heights,Michigan,USA,"Spreading the Inspiration, Creativity and Enthusiasm",4,"['2016carv', '2016micen', '2016mitry', '2016onwi']","['Carver Division', 'FIM District - Center Line Event', 'FIM District - Troy Event', 'Windsor Essex Great Lakes Regional']"
919,b'Tiger Techs',2002,Toronto,Ontario,Canada,Virtus Et Doctrina,1,['2016onto2'],['Greater Toronto Central Regional']
930,b'Mukwonago BEARs',2002,Mukwonago,Wisconsin,USA,Make it work,2,"['2016mndu2', '2016wimi']","['Northern Lights Regional', 'Wisconsin Regional']"
931,b'Perpetual Chaos',2002,St. Louis,Missouri,USA,Explore Robotics,2,"['2016ilch', '2016mosl']","['Midwest Regional', 'St. Louis Regional']"
932,b'Circuit Chargers',2002,Tulsa,Oklahoma,USA,"Inspiring Today, Engineering Tomorrow",3,"['2016arlr', '2016gal', '2016okok']","['Arkansas Rock City Regional', 'Galileo Division', 'Oklahoma Regional ']"
935,b'RaileRobotics',2002,Newton,Kansas,USA,Inspiration of today technology of tommorow,2,"['2016mokc', '2016okok']","['Greater Kansas City Regional', 'Oklahoma Regional ']"
937,b'Robo Tribe',2002,Overland Park,Kansas,USA,"Dream, Build, Succeed!",1,['2016mokc'],['Greater Kansas City Regional']
945,b'Team Banana',2002,Orlando,Florida,USA,We A Peel to All,2,"['2016alhu', '2016flor']","['Rocket City Regional', 'Orlando Regional']"
948,b'NRG (Newport Robotics Group)',2002,Bellevue,Washington,USA,Team eNeRGy: We have awesome potential,2,"['2016waahs', '2016wamou']","['PNW District - Auburn Event', 'PNW District - Mount Vernon Event']"
949,b'Wolverine Robotics',2002,Bellevue,Washington,USA,"It if doesn't work, hit it harder.",2,"['2016waamv', '2016wasno']","['PNW District - Auburn Mountainview Event', 'PNW District - Glacier Peak Event']"
955,b'CV Robotics',2002,Corvallis,Oregon,USA,Design to compete; compete to win,4,"['2016cur', '2016orphi', '2016orwil', '2016pncmp']","['Curie Division', 'PNW District - Philomath Event', 'PNW District - Wilsonville Event', 'Pacific Northwest District Championship sponsored by Autodesk']"
957,b'SWARM',2002,Albany,Oregon,USA,South West Albany Robotic Maniacs,2,"['2016orphi', '2016orwil']","['PNW District - Philomath Event', 'PNW District - Wilsonville Event']"
967,b'Iron Lions',2002,Marion,Iowa,USA,,2,"['2016iacf', '2016mnmi2']","['Iowa Regional', 'Minnesota North Star Regional']"
968,b'RAWC (Robotics Alliance Of West Covina)',2002,West Covina,California,USA,,2,"['2016azpx', '2016calb']","['Arizona West Regional', 'Los Angeles Regional']"
971,b'Spartan Robotics',2002,Mountain View,California,USA,"""If you wanna build robots, you've got to break a few small appliances""",3,"['2016cada', '2016casj', '2016hop']","['Sacramento Regional', 'Silicon Valley Regional presented by Google.org', 'Hopper Division']"
972,b'Iron Claw',2002,Los Gatos,California,USA,,2,"['2016cama', '2016casj']","['Central Valley Regional', 'Silicon Valley Regional presented by Google.org']"
